category,link,listed,name,price
Scotch Whisky,https://www.whiskyshop.com/strathclyde-31-year-old-batch-4-that-boutiquey-whisky-company,https://www.whiskyshop.com/scotch-whisky,Strathclyde 31 Year Old Batch 4 That Boutique-y Whisky Company,69.95
Scotch Whisky,https://www.whiskyshop.com/blended-malt-25-year-old-that-boutique-y-whisky-company,https://www.whiskyshop.com/scotch-whisky,Blended Malt #1 25 Year Old That Boutique-y Whisky Company,125.95
Scotch Whisky,https://www.whiskyshop.com/loch-lomond-25-year-old,https://www.whiskyshop.com/scotch-whisky,Loch Lomond 25 Year Old Lee Westwood,385.00
Scotch Whisky,https://www.whiskyshop.com/macphails-collection-glen-scotia-1992,https://www.whiskyshop.com/scotch-whisky,The MacPhail's Collection Glen Scotia 1992,199.00
Scotch Whisky,https://www.whiskyshop.com/benromach-1977-1266,https://www.whiskyshop.com/scotch-whisky,Benromach 1977 #1266,999.00
Scotch Whisky,https://www.whiskyshop.com/ailsa-bay-gift-pack,https://www.whiskyshop.com/scotch-whisky,Ailsa Bay 1.2 Gift Set,65.00
Scotch Whisky,https://www.whiskyshop.com/glenturret-30-year-old-platinum-old-rare,https://www.whiskyshop.com/scotch-whisky,Glenturret 30 Year Old Platinum Old & Rare,455.00
Scotch Whisky,https://www.whiskyshop.com/clynelish-27-year-old-platinium-old-rare,https://www.whiskyshop.com/scotch-whisky,Clynelish 27 Year Old Platinum Old & Rare,490.00
Scotch Whisky,https://www.whiskyshop.com/the-octave-iconic-speyside-2010-10-year-old,https://www.whiskyshop.com/scotch-whisky,The Octave An Iconic Speyside 2010 10 Year Old,85.00
Scotch Whisky,https://www.whiskyshop.com/the-octave-blair-athol-2008-12-year-old,https://www.whiskyshop.com/scotch-whisky,The Octave Blair Athol 2008 12 Year Old,95.00
Scotch Whisky,https://www.whiskyshop.com/balvenie-rare-marriages-25-year-old,https://www.whiskyshop.com/scotch-whisky,Balvenie 25 Year Old Rare Marriages,600.00
Scotch Whisky,https://www.whiskyshop.com/aberfeldy-15-year-old,https://www.whiskyshop.com/scotch-whisky,Aberfeldy 15 Year Old,62.99
Scotch Whisky,https://www.whiskyshop.com/black-bull-peated-edition,https://www.whiskyshop.com/scotch-whisky,Black Bull Peated Edition,32.00
Scotch Whisky,https://www.whiskyshop.com/black-bull-kyloe,https://www.whiskyshop.com/scotch-whisky,Black Bull Kyloe,28.00
Scotch Whisky,https://www.whiskyshop.com/black-bull-12-year-old,https://www.whiskyshop.com/scotch-whisky,Black Bull 12 Year Old ,40.00
Scotch Whisky,https://www.whiskyshop.com/laphroaig-1997-23-year-old-kinship,https://www.whiskyshop.com/scotch-whisky,The Kinship Laphroaig 1997 23 Year Old,519.00
Scotch Whisky,https://www.whiskyshop.com/ardbeg-2001-19-year-old-kinship,https://www.whiskyshop.com/scotch-whisky,The Kinship Ardbeg 2001 19 Year Old,486.50
Scotch Whisky,https://www.whiskyshop.com/macallan-rare-cask-2021-release,https://www.whiskyshop.com/scotch-whisky,Macallan Rare Cask 2021 Release,240.00
Scotch Whisky,https://www.whiskyshop.com/bruichladdich-29-year-old-the-kinship-1991,https://www.whiskyshop.com/scotch-whisky,The Kinship Bruichladdich 1991 29 Year Old,512.00
Scotch Whisky,https://www.whiskyshop.com/velvet-fig-small-batch,https://www.whiskyshop.com/scotch-whisky,Velvet Fig Small Batch,40.49
